symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-12-02 14:30:00+00:00,237.33,239.465,237.18,238.41,75424.0,889.0,238.619249
AAPL,2024-12-02 14:45:00+00:00,238.51,239.28,238.39,239.27,33418.0,383.0,238.783609
AAPL,2024-12-02 15:00:00+00:00,239.32,239.83,238.98,239.705,49859.0,544.0,239.372389
AAPL,2024-12-02 15:15:00+00:00,239.73,240.25,239.6,240.25,60064.0,648.0,239.91398
AAPL,2024-12-02 15:30:00+00:00,240.29,240.76,240.19,240.19,49674.0,565.0,240.49553
AAPL,2024-12-02 15:45:00+00:00,240.19,240.44,239.85,240.1,25787.0,371.0,240.188591
AAPL,2024-12-02 16:00:00+00:00,240.06,240.14,239.63,240.1,33345.0,435.0,239.872875
AAPL,2024-12-02 16:15:00+00:00,240.065,240.23,239.465,239.83,40839.0,406.0,239.785928
AAPL,2024-12-02 16:30:00+00:00,239.8,239.91,239.38,239.88,25035.0,289.0,239.673433
AAPL,2024-12-02 16:45:00+00:00,239.82,240.0,239.73,239.97,12669.0,188.0,239.903002
AAPL,2024-12-02 17:00:00+00:00,240.04,240.17,239.78,239.78,12551.0,241.0,240.010348
AAPL,2024-12-02 17:15:00+00:00,239.86,240.2,239.76,239.84,21122.0,255.0,239.98231
AAPL,2024-12-02 17:30:00+00:00,239.79,239.99,239.72,239.73,9987.0,185.0,239.858811
AAPL,2024-12-02 17:45:00+00:00,239.75,239.82,239.52,239.54,22178.0,221.0,239.669673
AAPL,2024-12-02 18:00:00+00:00,239.46,239.71,239.26,239.36,11360.0,178.0,239.513132
AAPL,2024-12-02 18:15:00+00:00,239.265,239.59,239.265,239.51,23543.0,181.0,239.470606
AAPL,2024-12-02 18:30:00+00:00,239.45,239.47,239.27,239.33,5862.0,85.0,239.352371
AAPL,2024-12-02 18:45:00+00:00,239.44,239.5,239.04,239.1,14711.0,152.0,239.251268
AAPL,2024-12-02 19:00:00+00:00,239.145,239.4,239.07,239.17,10365.0,144.0,239.272775
AAPL,2024-12-02 19:15:00+00:00,239.115,239.35,239.11,239.345,9110.0,145.0,239.232702
AAPL,2024-12-02 19:30:00+00:00,239.32,239.445,239.285,239.38,9136.0,161.0,239.374887
AAPL,2024-12-02 19:45:00+00:00,239.365,239.65,239.34,239.65,12430.0,203.0,239.489003
AAPL,2024-12-02 20:00:00+00:00,239.64,239.715,239.38,239.505,13459.0,247.0,239.532936
AAPL,2024-12-02 20:15:00+00:00,239.53,239.83,239.375,239.83,10633.0,199.0,239.561366
AAPL,2024-12-02 20:30:00+00:00,239.795,239.94,239.64,239.685,16247.0,335.0,239.78265
AAPL,2024-12-02 20:45:00+00:00,239.705,239.86,239.06,239.635,135609.0,1496.0,239.562767
AAPL,2024-12-03 14:30:00+00:00,239.9,239.93,238.99,239.61,55022.0,704.0,239.404153
AAPL,2024-12-03 14:45:00+00:00,239.61,240.91,239.61,240.9,56008.0,558.0,240.316337
AAPL,2024-12-03 15:00:00+00:00,240.855,241.235,240.58,241.225,58192.0,710.0,240.885127
AAPL,2024-12-03 15:15:00+00:00,241.235,241.355,240.36,240.51,40520.0,534.0,240.808536
AAPL,2024-12-03 15:30:00+00:00,240.465,241.12,240.455,240.87,33564.0,419.0,240.832627
AAPL,2024-12-03 15:45:00+00:00,240.86,241.245,240.75,241.245,55847.0,547.0,240.956791
AAPL,2024-12-03 16:00:00+00:00,241.12,241.2,240.85,240.945,37570.0,361.0,241.026806
AAPL,2024-12-03 16:15:00+00:00,240.93,241.315,240.82,241.315,16299.0,232.0,241.162981
AAPL,2024-12-03 16:30:00+00:00,241.34,241.38,240.995,241.23,45586.0,411.0,241.150299
AAPL,2024-12-03 16:45:00+00:00,241.235,241.505,241.22,241.41,19749.0,276.0,241.397935
AAPL,2024-12-03 17:00:00+00:00,241.37,241.62,241.37,241.405,19255.0,228.0,241.488907
AAPL,2024-12-03 17:15:00+00:00,241.425,241.545,241.24,241.28,15781.0,191.0,241.395596
AAPL,2024-12-03 17:30:00+00:00,241.27,241.515,241.14,241.495,15967.0,216.0,241.251465
AAPL,2024-12-03 17:45:00+00:00,241.495,241.695,241.495,241.665,16402.0,248.0,241.623746
