symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2024-11-01 12:30:00+00:00,251.9,251.9,251.9,251.9,200.0,3.0,251.9
TSLA,2024-11-01 13:30:00+00:00,251.93,254.0,249.9,250.87,86878.0,1277.0,252.051715
TSLA,2024-11-01 14:00:00+00:00,250.94,252.57,249.82,252.12,58716.0,857.0,251.302282
TSLA,2024-11-01 14:30:00+00:00,252.225,252.94,250.77,252.37,51709.0,725.0,252.039763
TSLA,2024-11-01 15:00:00+00:00,252.335,253.45,251.355,252.58,44341.0,699.0,252.638416
TSLA,2024-11-01 15:30:00+00:00,252.57,252.95,250.12,250.26,32371.0,540.0,251.547646
TSLA,2024-11-01 16:00:00+00:00,250.25,251.045,248.79,248.93,40755.0,586.0,249.928602
TSLA,2024-11-01 16:30:00+00:00,248.88,249.16,246.87,246.98,51197.0,801.0,247.913434
TSLA,2024-11-01 17:00:00+00:00,246.9,248.62,246.65,248.5,40967.0,544.0,247.520237
TSLA,2024-11-01 17:30:00+00:00,248.68,248.68,246.85,246.9,32640.0,518.0,247.532118
TSLA,2024-11-01 18:00:00+00:00,246.86,248.36,246.84,248.28,37425.0,537.0,247.557285
TSLA,2024-11-01 18:30:00+00:00,248.15,248.38,247.49,248.1,23259.0,407.0,247.951326
TSLA,2024-11-01 19:00:00+00:00,248.0,249.5,247.71,249.18,48563.0,755.0,248.849692
TSLA,2024-11-01 19:30:00+00:00,249.12,249.33,248.14,248.85,113074.0,1245.0,248.779445
TSLA,2024-11-04 14:30:00+00:00,244.55,245.29,238.955,243.61,146302.0,1944.0,241.83153
TSLA,2024-11-04 15:00:00+00:00,243.63,246.875,242.45,246.26,65659.0,1000.0,244.646414
TSLA,2024-11-04 15:30:00+00:00,246.19,248.505,245.65,248.02,88469.0,967.0,247.229209
TSLA,2024-11-04 16:00:00+00:00,248.34,248.84,245.845,246.08,45677.0,632.0,247.375162
TSLA,2024-11-04 16:30:00+00:00,246.11,246.19,244.0,245.1,55750.0,761.0,244.977636
TSLA,2024-11-04 17:00:00+00:00,245.12,245.37,243.42,244.555,26012.0,402.0,244.287386
TSLA,2024-11-04 17:30:00+00:00,244.7,245.48,244.25,245.06,15786.0,307.0,245.037984
